Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Co-Training: PhysArousalNN8,0.5374407582948577,0.37566338134714045,0.555493273543223,0.44821347806274225,0.05674538782288297,0.13928492007281582,0.08101396767154159,0.1061821891412385
Co-Training: PhysArousalNN12,0.5607582938456127,0.48483699772359673,0.5717478766287829,0.5247179487203042,0.0687049471840786,0.2204866657835602,0.061281933102130544,0.1451619752113249
Co-Training: PhysValenceBLR4,0.5457819905242575,0.2858225928820539,0.5955766192749864,0.38627049181154577,0.05869582879106352,0.24629756721380155,0.1664869342367826,0.2007674410627314
Co-Training: PhysValenceBLR8,0.5884360189603571,0.4025777103881826,0.6409173204625281,0.4945285215389733,0.05069725314742685,0.17724456233261793,0.1488048021151894,0.13731653880678077
Co-Training: PhysValenceBLR12,0.570236966821934,0.4958301743650334,0.5826280623578196,0.5357362277220533,0.060773796208074285,0.24976991196669182,0.1471518021090917,0.14034069869863697
Co-Training: PhysValenceRF4,0.544454976302454,0.36050037908779564,0.5704859028134769,0.44181184669767504,0.06820992619953235,0.14047150047443085,0.14002575295963632,0.10440311407342275
Co-Training: PhysValenceRF8,0.5647393364939616,0.4681576952178474,0.5803571428586534,0.5182543012979254,0.05174156857843113,0.1488099710980676,0.1340329087672432,0.08410661211440962
Co-Training: PhysValenceRF12,0.5675829383953889,0.47990902199954477,0.582068965523006,0.5260752129751669,0.06919040989811902,0.18096508478814757,0.12347222098502543,0.11266972653690417
Co-Training: PhysValenceNN4,0.5181042654006732,0.2918877937894803,0.5332409972391537,0.37726604606343844,0.0482006538943972,0.1217763884214612,0.18628123038601604,0.14022790450799902
Co-Training: PhysValenceNN8,0.5615165876768939,0.48104624715876054,0.5734297333909921,0.5231910946196661,0.07342384666182422,0.15861457914665456,0.11744185790681502,0.13185213336849144
Co-Training: PhysValenceNN12,0.5569668246380226,0.4783927217531402,0.5677013045344129,0.5192347253579905,0.05893499228983789,0.13928862649504728,0.0907865051995999,0.08243897204367243
Co-Training: AllArousalBLR4,0.6041706161197472,0.35670962851078974,0.7064564564864865,0.47405541562772696,0.06961850968634807,0.22935501193448224,0.059837981818461,0.20922993968115375
Co-Training: AllArousalBLR8,0.6365876777244296,0.4393479909114456,0.7257357545295637,0.5473435655296591,0.07258445827100193,0.21122571207823843,0.0961400940440535,0.16205007194305904
Co-Training: AllArousalBLR12,0.6638862559235335,0.5470053070414973,0.7140029688301336,0.6194462330923303,0.0654272089422828,0.17611507194732576,0.050148170264134435,0.11355396782925915
Co-Training: AllArousalRF4,0.5933649289148688,0.5090978013590185,0.6124031007828291,0.5559925481264582,0.06889827023865659,0.1941838838199004,0.08493338488186761,0.10952689831294755
Co-Training: AllArousalRF8,0.6089099526096851,0.5792266868937802,0.6158806932694573,0.5969915999273413,0.06831031877450097,0.14743651784963632,0.0728589285077864,0.09991268597543168
Co-Training: AllArousalRF12,0.5891943127986472,0.551175132674718,0.5966352072335114,0.5730049261128471,0.07480222143688935,0.1336645315291093,0.07651473222308167,0.08786136877684093
Co-Training: AllArousalNN4,0.5594312796142645,0.2714177407195931,0.6404293380994365,0.3812566560231128,0.052933915922190454,0.1576102118898672,0.07293010734824938,0.15494940476272734
Co-Training: AllArousalNN8,0.5732701421811816,0.32486732372374855,0.6458176337647571,0.4322824716220969,0.06060809709094023,0.1369752541150364,0.1006550889646117,0.1344479002008445
Co-Training: AllArousalNN12,0.5603791469299723,0.3612585291939395,0.6005040957958507,0.4511242603640343,0.08122657316555996,0.23031065347892687,0.135527792062779,0.20563174360846473
